n,depth
1000,11.4240
6000,11.4230
11000,11.4577
16000,11.4656
21000,11.4628
26000,11.4706
31000,11.4749
36000,11.4729
41000,11.4913
46000,11.4898
51000,11.4887
56000,11.4790
61000,11.4735
66000,11.4954
71000,11.4894
76000,11.4823
81000,11.4925
86000,11.4942
91000,11.5064
96000,11.5116
101000,11.5059
106000,11.5168
111000,11.5001
116000,11.4867
121000,11.5198
126000,11.4941
131000,11.5035
136000,11.5189
141000,11.5038
146000,11.5113
151000,11.5049
156000,11.4968
161000,11.5173
166000,11.5084
171000,11.5139
176000,11.5153
181000,11.5100
186000,11.5074
191000,11.5333
196000,11.5161
201000,11.5259
206000,11.4983
211000,11.5231
216000,11.5048
221000,11.5212
226000,11.5055
231000,11.5204
236000,11.5023
241000,11.5173
246000,11.5141
251000,11.5227
256000,11.5213
261000,11.5258
266000,11.5165
271000,11.5148
276000,11.5213
281000,11.5188
286000,11.5126
291000,11.5098
296000,11.5326
301000,11.5215
306000,11.5222
311000,11.5380
316000,11.5398
321000,11.5201
326000,11.5252
331000,11.5274
336000,11.5436
341000,11.5236
346000,11.5270
351000,11.5388
356000,11.5300
361000,11.5374
366000,11.5296
371000,11.5405
376000,11.5478
381000,11.5375
386000,11.5343
391000,11.5266
396000,11.5261
401000,11.5278
406000,11.5289
411000,11.5354
416000,11.5231
421000,11.5338
426000,11.5409
431000,11.5353
436000,11.5360
441000,11.5317
446000,11.5412
451000,11.5469
456000,11.5285
461000,11.5263
466000,11.5454
471000,11.5231
476000,11.5346
481000,11.5303
486000,11.5398
491000,11.5394
496000,11.5254
501000,11.5417
506000,11.5364
511000,11.5396
516000,11.5418
521000,11.5460
526000,11.5371
531000,11.5430
536000,11.5400
541000,11.5428
546000,11.5339
551000,11.5444
556000,11.5424
561000,11.5441
566000,11.5401
571000,11.5456
576000,11.5354
581000,11.5357
586000,11.5372
591000,11.5262
596000,11.5464
601000,11.5406
606000,11.5460
611000,11.5426
616000,11.5208
621000,11.5600
626000,11.5538
631000,11.5655
636000,11.5508
641000,11.5436
646000,11.5538
651000,11.5447
656000,11.5429
661000,11.5434
666000,11.5516
671000,11.5498
676000,11.5402
681000,11.5344
686000,11.5320
691000,11.5299
696000,11.5430
701000,11.5505
706000,11.5479
711000,11.5477
716000,11.5474
721000,11.5449
726000,11.5437
731000,11.5686
736000,11.5264
741000,11.5454
746000,11.5407
751000,11.5370
756000,11.5616
761000,11.5459
766000,11.5556
771000,11.5559
776000,11.5483
781000,11.5396
786000,11.5476
791000,11.5486
796000,11.5359
801000,11.5505
806000,11.5502
811000,11.5447
816000,11.5581
821000,11.5341
826000,11.5343
831000,11.5407
836000,11.6110
841000,11.5656
846000,11.5305
851000,11.5431
856000,11.5462
861000,11.5617
866000,11.5527
871000,11.5404
876000,11.5477
881000,11.5473
886000,11.5504
891000,11.5487
896000,11.5562
901000,11.5330
906000,11.5357
911000,11.5641
916000,11.5511
921000,11.5503
926000,11.5605
931000,11.5500
936000,11.5549
941000,11.5625
946000,11.5498
951000,11.5374
956000,11.5621
961000,11.5681
966000,11.5914
971000,11.5756
976000,11.5625
981000,11.5679
986000,11.5385
991000,11.5576
996000,11.5616
